fid1,iid1,fid2,iid2,m,ibd0,ibd1,ibd2
AFWO3422,AFWO3422,TGYE3689,TGYE3689,1.40354186044101,0.244,0.756,0
AFWO3422,AFWO3422,TGYE3690,TGYE3690,20,1,0,0
AFWO3422,AFWO3422,TGYE3691,TGYE3691,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,TGYE3692,TGYE3692,20,1,0,0
AFWO3422,AFWO3422,TGYE3693,TGYE3693,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,TGYE3694,TGYE3694,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,TGYE3695,TGYE3695,1.75146516386132,0.406,0.594,0
AFWO3422,AFWO3422,TGYE3696,TGYE3696,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,TGYE3697,TGYE3697,1.96578428466209,0.488,0.512,0
AFWO3422,AFWO3422,TGYE3698,TGYE3698,1.56704059272389,0.325,0.675,0
AFWO3422,AFWO3422,TGYE3699,TGYE3699,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,TGYE3700,TGYE3700,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,TGYE3701,TGYE3701,20,1,0,0
AFWO3422,AFWO3422,TGYE3702,TGYE3702,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,TGYE3703,TGYE3703,20,1,0,0
AFWO3422,AFWO3422,TGYE3704,TGYE3704,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,TGYE3705,TGYE3705,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,TGYE3706,TGYE3706,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,TGYE3707,TGYE3707,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,TGYE3708,TGYE3708,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,TGYE3709,TGYE3709,1.75146516386132,0.406,0.594,0
AFWO3422,AFWO3422,TGYE3710,TGYE3710,8.96578428466209,0.996,0.004,0
AFWO3422,AFWO3422,AMAN030929,AMAN030929,20,1,0,0
AFWO3422,AFWO3422,AMAN030931,AMAN030931,5.57346686188333,0.958,0.042,0
AFWO3422,AFWO3422,AMAN030932,AMAN030932,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,AMAN030933,AMAN030933,20,1,0,0
AFWO3422,AFWO3422,AMAN030934,AMAN030934,2.89969509420431,0.732,0.268,0
AFWO3422,AFWO3422,AMAN030935,AMAN030935,4.79585928321977,0.928,0.072,0
AFWO3422,AFWO3422,AMAN030936,AMAN030936,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,AMAN030937,AMAN030937,1.56704059272389,0.325,0.675,0
AFWO3422,AFWO3422,AMAN030938,AMAN030938,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,AMAN030939,AMAN030939,5.05889368905357,0.94,0.06,0
AFWO3422,AFWO3422,AMAN030940,AMAN030940,20,1,0,0
AFWO3422,AFWO3422,AMAN030941,AMAN030941,20,1,0,0
AFWO3422,AFWO3422,AMAN030942,AMAN030942,20,1,0,0
AFWO3422,AFWO3422,AMAN030943,AMAN030943,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,AMAN030944,AMAN030944,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,AMAN030945,AMAN030945,20,1,0,0
